COUNTRY,SECTOR,SUBSECTOR,ENERGY_CARRIER,PROPERTY,UNIT,YEAR,VALUE
AT,Buildings,Total,Methane,Energy Demand,TWh,2019,4.333138664
BE,Buildings,Total,Methane,Energy Demand,TWh,2019,22.39635484
BG,Buildings,Total,Methane,Energy Demand,TWh,2019,1.079609594
CY,Buildings,Total,Methane,Energy Demand,TWh,2019,0.014922467
CZ,Buildings,Total,Methane,Energy Demand,TWh,2019,13.86737593
DE,Buildings,Total,Methane,Energy Demand,TWh,2019,114.9002896
DK,Buildings,Total,Methane,Energy Demand,TWh,2019,2.403853492
EE,Buildings,Total,Methane,Energy Demand,TWh,2019,0.879611111
ES,Buildings,Total,Methane,Energy Demand,TWh,2019,23.40138143
FI,Buildings,Total,Methane,Energy Demand,TWh,2019,0.493365278
FR,Buildings,Total,Methane,Energy Demand,TWh,2019,71.02733676
GR,Buildings,Total,Methane,Energy Demand,TWh,2019,2.01674384
HR,Buildings,Total,Methane,Energy Demand,TWh,2019,2.443697824
HU,Buildings,Total,Methane,Energy Demand,TWh,2019,12.34958651
IE,Buildings,Total,Methane,Energy Demand,TWh,2019,4.834094012
IT,Buildings,Total,Methane,Energy Demand,TWh,2019,82.89744247
LT,Buildings,Total,Methane,Energy Demand,TWh,2019,0.898710833
LU,Buildings,Total,Methane,Energy Demand,TWh,2019,1.261214514
LV,Buildings,Total,Methane,Energy Demand,TWh,2019,1.315363056
MT,Buildings,Total,Methane,Energy Demand,TWh,2019,0.010292108
NL,Buildings,Total,Methane,Energy Demand,TWh,2019,33.73880544
PL,Buildings,Total,Methane,Energy Demand,TWh,2019,16.47430007
PT,Buildings,Total,Methane,Energy Demand,TWh,2019,2.960689106
RO,Buildings,Total,Methane,Energy Demand,TWh,2019,9.554886327
SE,Buildings,Total,Methane,Energy Demand,TWh,2019,1.182189444
SI,Buildings,Total,Methane,Energy Demand,TWh,2019,0.351212629
SK,Buildings,Total,Methane,Energy Demand,TWh,2019,4.72536157
UK,Buildings,Total,Methane,Energy Demand,TWh,2019,76.43458394
EU,Buildings,Total,Methane,Energy Demand,TWh,2019,431.811829
AT,Buildings,Total,Heat,Energy Demand,TWh,2019,8.506568696
BE,Buildings,Total,Heat,Energy Demand,TWh,2019,0.575823488
BG,Buildings,Total,Heat,Energy Demand,TWh,2019,1.877268136
CY,Buildings,Total,Heat,Energy Demand,TWh,2019,0.016496386
CZ,Buildings,Total,Heat,Energy Demand,TWh,2019,5.519904284
DE,Buildings,Total,Heat,Energy Demand,TWh,2019,16.8873916
DK,Buildings,Total,Heat,Energy Demand,TWh,2019,8.872431035
EE,Buildings,Total,Heat,Energy Demand,TWh,2019,1.194444444
ES,Buildings,Total,Heat,Energy Demand,TWh,2019,0.07622475
FI,Buildings,Total,Heat,Energy Demand,TWh,2019,12.17333333
FR,Buildings,Total,Heat,Energy Demand,TWh,2019,9.530331068
GR,Buildings,Total,Heat,Energy Demand,TWh,2019,0.106224211
HR,Buildings,Total,Heat,Energy Demand,TWh,2019,0.710111477
HU,Buildings,Total,Heat,Energy Demand,TWh,2019,2.165250958
IE,Buildings,Total,Heat,Energy Demand,TWh,2019,0.000251767
IT,Buildings,Total,Heat,Energy Demand,TWh,2019,4.454962486
LT,Buildings,Total,Heat,Energy Demand,TWh,2019,2.036666667
LU,Buildings,Total,Heat,Energy Demand,TWh,2019,0.963116389
LV,Buildings,Total,Heat,Energy Demand,TWh,2019,1.446150833
MT,Buildings,Total,Heat,Energy Demand,TWh,2019,0.000244722
NL,Buildings,Total,Heat,Energy Demand,TWh,2019,2.852516904
PL,Buildings,Total,Heat,Energy Demand,TWh,2019,12.43748017
PT,Buildings,Total,Heat,Energy Demand,TWh,2019,0.370461674
RO,Buildings,Total,Heat,Energy Demand,TWh,2019,1.969187872
SE,Buildings,Total,Heat,Energy Demand,TWh,2019,14.55194444
SI,Buildings,Total,Heat,Energy Demand,TWh,2019,0.679078333
SK,Buildings,Total,Heat,Energy Demand,TWh,2019,0.86138238
UK,Buildings,Total,Heat,Energy Demand,TWh,2019,3.505745992
EU,Buildings,Total,Heat,Energy Demand,TWh,2019,110.8352485
AT,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.984950152
BE,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.274835523
BG,Buildings,Total,Biofuels,Energy Demand,TWh,2019,1.293764495
CY,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.004778778
CZ,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.133667862
DE,Buildings,Total,Biofuels,Energy Demand,TWh,2019,17.8042317
DK,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.419517855
EE,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.127777778
ES,Buildings,Total,Biofuels,Energy Demand,TWh,2019,1.291512016
FI,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.883055556
FR,Buildings,Total,Biofuels,Energy Demand,TWh,2019,3.017420759
GR,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.072035111
HR,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.131177842
HU,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.310605297
IE,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.162966211
IT,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.829833534
LT,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.334166667
LU,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.000153333
LV,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.642166667
MT,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0
NL,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.945271861
PL,Buildings,Total,Biofuels,Energy Demand,TWh,2019,2.031677895
PT,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.138922209
RO,Buildings,Total,Biofuels,Energy Demand,TWh,2019,1.150785912
SE,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.438055556
SI,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0
SK,Buildings,Total,Biofuels,Energy Demand,TWh,2019,0.059503346
UK,Buildings,Total,Biofuels,Energy Demand,TWh,2019,1.994427801
EU,Buildings,Total,Biofuels,Energy Demand,TWh,2019,33.48283391
AT,Buildings,Total,Solids,Energy Demand,TWh,2019,0
BE,Buildings,Total,Solids,Energy Demand,TWh,2019,0
BG,Buildings,Total,Solids,Energy Demand,TWh,2019,0.045681383
CY,Buildings,Total,Solids,Energy Demand,TWh,2019,0
CZ,Buildings,Total,Solids,Energy Demand,TWh,2019,0.317387255
DE,Buildings,Total,Solids,Energy Demand,TWh,2019,0.021423112
DK,Buildings,Total,Solids,Energy Demand,TWh,2019,0
EE,Buildings,Total,Solids,Energy Demand,TWh,2019,0.011153611
ES,Buildings,Total,Solids,Energy Demand,TWh,2019,0
FI,Buildings,Total,Solids,Energy Demand,TWh,2019,0.029
FR,Buildings,Total,Solids,Energy Demand,TWh,2019,0.405698066
GR,Buildings,Total,Solids,Energy Demand,TWh,2019,0
HR,Buildings,Total,Solids,Energy Demand,TWh,2019,0
HU,Buildings,Total,Solids,Energy Demand,TWh,2019,0.017286602
IE,Buildings,Total,Solids,Energy Demand,TWh,2019,0.005884722
IT,Buildings,Total,Solids,Energy Demand,TWh,2019,0
LT,Buildings,Total,Solids,Energy Demand,TWh,2019,0.402818611
LU,Buildings,Total,Solids,Energy Demand,TWh,2019,0
LV,Buildings,Total,Solids,Energy Demand,TWh,2019,0.031273611
MT,Buildings,Total,Solids,Energy Demand,TWh,2019,0
NL,Buildings,Total,Solids,Energy Demand,TWh,2019,0.03504119
PL,Buildings,Total,Solids,Energy Demand,TWh,2019,5.719061035
PT,Buildings,Total,Solids,Energy Demand,TWh,2019,0
RO,Buildings,Total,Solids,Energy Demand,TWh,2019,0.004751137
SE,Buildings,Total,Solids,Energy Demand,TWh,2019,0
SI,Buildings,Total,Solids,Energy Demand,TWh,2019,0
SK,Buildings,Total,Solids,Energy Demand,TWh,2019,1.42073731
UK,Buildings,Total,Solids,Energy Demand,TWh,2019,0.182382641
EU,Buildings,Total,Solids,Energy Demand,TWh,2019,8.467197646
AT,Buildings,Total,Liquids,Energy Demand,TWh,2019,2.145980016
