PATTERN,AT00Z2IN,AT00Z2RE,AT00Z2TE,AT00Z2TR
"M01,D18,H13",0.0,0.0,0.0,0.0
"M01,D18,H14",0.0,0.0,0.0,0.0
"M01,D18,H15",0.0,0.0,0.0,0.0
"M01,D18,H16",0.0,0.0,0.0,0.0
"M01,D18,H17",0.0,0.0,0.0,0.0
"M01,D18,H18",0.0,0.0,0.0,0.0
"M01,D18,H19",0.0,0.0,0.0,0.0
"M01,D18,H20",0.0,0.0,0.0,0.0
"M01,D18,H21",0.0,0.0,0.0,0.0
"M01,D18,H22",0.0,0.0,0.0,0.0
"M01,D18,H23",0.0,0.0,0.0,0.0
"M01,D18,H24",0.0,0.0,0.0,0.0
"M01,D19,H1",0.0,0.0,0.0,0.0
"M01,D19,H2",0.0,0.0,0.0,0.0
"M01,D19,H3",0.0,0.0,0.0,0.0
"M01,D19,H4",0.0,0.0,0.0,0.0
"M01,D19,H5",0.0,0.0,0.0,0.0
"M01,D19,H6",0.0,0.0,0.0,0.0
"M01,D19,H7",0.0,0.0,0.0,0.0
"M01,D19,H8",0.0,0.0,0.0,0.0
"M01,D19,H9",0.0,0.0,0.0,0.0
"M01,D19,H10",0.0,0.0,0.0,0.0
"M01,D19,H11",0.0,0.0,0.0,0.0
"M01,D19,H12",0.0,0.0,0.0,0.0
"M01,D19,H13",0.0,0.0,0.0,0.0
"M01,D19,H14",0.0,0.0,0.0,0.0
"M01,D19,H15",0.0,0.0,0.0,0.0
"M01,D19,H16",0.0,0.0,0.0,0.0
"M01,D19,H17",0.0,0.0,0.0,0.0
"M01,D19,H18",0.0,0.0,0.0,0.0
"M01,D19,H19",0.0,0.0,0.0,0.0
"M01,D19,H20",0.0,0.0,0.0,0.0
"M01,D19,H21",0.0,0.0,0.0,0.0
"M01,D19,H22",0.0,0.0,0.0,0.0
"M01,D19,H23",0.0,0.0,0.0,0.0
"M01,D19,H24",0.0,0.0,0.0,0.0
"M01,D20,H1",0.0,0.0,0.0,0.0
"M01,D20,H2",0.0,0.0,0.0,0.0
"M01,D20,H3",0.0,0.0,0.0,0.0
"M01,D20,H4",0.0,0.0,0.0,0.0
"M01,D20,H5",0.0,0.0,0.0,0.0
"M01,D20,H6",0.0,0.0,0.0,0.0
"M01,D20,H7",0.0,0.0,0.0,0.0
"M01,D20,H8",0.0,0.0,0.0,0.0
"M01,D20,H9",0.0,0.0,0.0,0.0
"M01,D20,H10",0.0,0.0,0.0,0.0
"M01,D20,H11",0.0,0.0,0.0,0.0
"M01,D20,H12",0.0,0.0,0.0,0.0
"M01,D20,H13",0.0,0.0,0.0,0.0
"M01,D20,H14",0.0,0.0,0.0,0.0
"M01,D20,H15",0.0,0.0,0.0,0.0
"M01,D20,H16",0.0,0.0,0.0,0.0
"M01,D20,H17",0.0,0.0,0.0,0.0
"M01,D20,H18",0.0,0.0,0.0,0.0
"M01,D20,H19",0.0,0.0,0.0,0.0
"M01,D20,H20",0.0,0.0,0.0,0.0
